Analysis Id,Sample Id,Sample,Fixed,Lat,Long,Dist,Bearing,Direction,Collection,Source,Description,Weight,Depth,Surface_Area,Shape,Uncertainty,MDA,Method,Nuclide,Result,Result
197903,9023,SCF-08774,FALSE,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/2011 13:00,DOE,Field Team: location one ;,,2,100,Square & Flat,1.22E-05,5.62E-07,Gamma Spectroscopy,Cs-134,0.000477004,4770%
197905,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,6.30E-06,8.97E-06,Gamma Spectroscopy,Te-129m,-1.02E-05,-102%
197907,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,6.30E-06,0,Gamma Spectroscopy,I-132,3.88E-11,0%
197909,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,6.30E-06,0,Gamma Spectroscopy,Te-132,3.88E-11,0%
197911,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,4.25E-07,0,Gamma Spectroscopy,Mo-99,3.91E-11,0%
197913,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,2.47E-08,3.32E-08,GP Counting,Sr-90,2.85E-08,0%
197915,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,2.47E-08,3.32E-08,GP Counting,Sr-90,2.85E-08,0%
197917,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,3.95E-08,3.32E-08,GP Counting,Sr-Total,4.46E-07,4%
197919,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,2.47E-08,3.32E-08,GP Counting,Sr-89,5.98E-07,6%
197921,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,2.47E-08,3.32E-08,GP Counting,Sr-89,5.98E-07,6%
197923,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,1.62E-06,2.59E-06,Gamma Spectroscopy,Ce-144,1.57E-06,16%
197925,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,8.29E-07,5.01E-07,Gamma Spectroscopy,Ba-140,3.85E-06,39%
197927,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,1.19E-06,1.34E-06,Gamma Spectroscopy,Cs-136,1.54E-05,154%
197929,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,8.95E-06,7.32E-06,Gamma Spectroscopy,I-131,0.000115739,1157%
197931,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,3.50E-05,4.16E-07,Gamma Spectroscopy,Cs-137,0.000579327,5793%
197933,9017,SCF-08775,FALSE,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/2011 13:30,DOE,Field Team: second sample ;,,2,100,Square & Flat,1.50E-05,6.09E-07,Gamma Spectroscopy,Cs-134,0.000589645,5896%
197935,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,5.69E-06,8.23E-06,Gamma Spectroscopy,Te-129m,-3.54E-06,-35%
197937,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,3.80E-07,0,Gamma Spectroscopy,Mo-99,-4.30E-10,0%
197939,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,4.74E-05,0,Gamma Spectroscopy,I-132,-1.30E-11,0%
197941,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,4.74E-05,0,Gamma Spectroscopy,Te-132,-1.30E-11,0%
197943,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,2.82E-08,3.80E-08,GP Counting,Sr-90,9.62E-08,1%
197945,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,2.82E-08,3.80E-08,GP Counting,Sr-90,9.62E-08,1%
